Home: Brand Story,,,,,
Nombre de marca ,Identidad ,MAKI LOVERS,,,
Nombre en japonés,Traducción / Origen ,マキ ロベルス,,,
Eslogan,Promesa de Marca,Makilovers: sabores que hacen los momentos inolvidables.,,,
Landing: Identidad & Welcome,,,,,
Encabezado ,Saludo / Bienvenida ,¡BIENVENIDOS A MAKILOVERS!,,,
Párrafo 1 ,Propósito,"En Makilovers, cada bocado es más que un sabor, es un momento que se comparte y se recuerda.",,,
Párrafo 2 ,Filosofía / Concepto,"Nos inspira la fusión nikkei, los ingredientes frescos y el arte de crear experiencias inolvidables en cada plato.",,,
Párrafo 3 ,Experiencia de Usuario,"Aquí, cada visita es una oportunidad para celebrar, reencontrarse y disfrutar sin prisas.",,,
Párrafo 4,Omnicanalidad / Servicio,"Ya sea en el salón o desde casa, queremos ser parte de esos instantes que hacen la vida especial.",,,
Párrafo 5,Call to Action (CTA),"Elige tu momento, disfruta tu experiencia y déjate sorprender.",,,
Categorias ,Sub-Categorías,Productos,Descripción,,Precios
Entradas,Sashimi,Salmón,(4 cortes),,S/ 26.00
Entradas,Sashimi,Atún,(4 cortes),,S/ 18.00
Entradas,Sashimi,Pescado blanco,(4 cortes),,S/ 15.00
Entradas,Sashimi,Pulpo,(4 cortes),,S/ 20.00
Entradas,Sashimi,Langostino,(4 cortes),,S/ 16.00
Entradas,Sashimi,Sashimi mixto,(6 cortes de pescado y 4 de maricos),,S/ 38.00
Entradas,Gunkan,Salmón,(3 cortes),,S/ 20.00
Entradas,Gunkan,Atún,(3 cortes),,S/ 15.00
Entradas,Gunkan,Pulpo,(3 cortes),,S/ 15.00
Entradas,Gunkan,Conchas de abanico,(3 cortes),,S/ 16.00
Entradas,Gunkan,Langostino,(3 cortes),,S/ 15.00
Entradas,Nigiri,Salmón,(3 unidades),,S/ 20.00
Entradas,Nigiri,Atún,(3 unidades),,S/ 15.00
Entradas,Nigiri,Atún tataki,(3 unidades),,S/ 18.00
Entradas,Nigiri,Langostino,(3 unidades),,S/ 18.00
Entradas,Nigiri,Pulpo,(3 unidades),,S/ 18.00
Entradas,Nigiri,Pescado blanco,(3 unidades),,S/ 15.00
Entradas,Nigiri,Parrillero,(3 unidades),,S/ 18.00
Entradas,Temaki,Emperador,(1 cono),,S/ 20.00
Entradas,Temaki,California,(1 cono),,S/ 20.00
Entradas,Temaki,Acevichado,(1 cono),,S/ 20.00
Entradas,Temaki,Philadelphia,(1 cono),,S/ 20.00
Entradas,Temaki,Spicy kani,(1 cono),,S/ 20.00
Entradas,Alitas,Alitas BBQ,(6 unidades),,S/ 20.00
Entradas,Alitas,Alitas Teriyaki,(6 unidades),,S/ 20.00
Entradas,Alitas,Alitas Bualo Wings,(6 unidades),,S/ 20.00
